,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,EB
37,38,15729599,Lorenzo,804,0.5,1,33,7,76548.6,1,0,1,98453.45,0,0.77751059
38,39,15717426,Armstrong,850,0,1,36,7,0.0,1,1,1,40812.9,0,0.0
39,40,15585768,Cameron,582,1,1,41,6,70349.48,2,0,1,178074.04,0,0.395057472
40,41,15619360,Hsiao,472,0.5,1,40,4,0.0,1,1,0,70154.22,0,0.0
41,42,15738148,Clarke,465,0,0,51,8,122522.32,1,0,0,181297.65,1,0.6758075459999999
42,43,15687946,Osborne,556,0,0,61,2,117419.35,1,1,1,94153.83,0,1.247101154
43,44,15755196,Lavine,834,0,0,49,2,131394.56,1,0,0,194365.76,1,0.67601701
44,45,15684171,Bianchi,660,0.5,0,61,5,155931.11,1,1,1,158338.39,0,0.984796612
45,46,15754849,Tyler,776,1,0,32,4,109421.13,2,1,1,126517.46,0,0.864869797
46,47,15602280,Martin,829,1,0,27,9,112045.67,1,1,1,119708.21,1,0.935989854
47,48,15771573,Okagbue,637,1,0,39,9,137843.8,1,1,1,117622.8,1,1.1719139490000001
48,49,15766205,Yin,550,1,1,38,2,103391.38,1,0,1,90878.13,0,1.1376926440000001
49,50,15771873,Buccho,776,1,0,37,2,103769.22,2,1,0,194099.12,0,0.534619734
50,51,15616550,Chidiebele,698,1,1,44,10,116363.37,2,1,0,198059.16,0,0.587518245
51,52,15768193,Trevisani,585,1,1,36,5,146050.97,2,0,0,86424.57,0,1.689924173
52,53,15683553,O'Brien,788,0,0,33,5,0.0,2,0,0,116978.19,0,0.0
53,54,15702298,Parkhill,655,1,1,41,8,125561.97,1,0,0,164040.94,1,0.7654306909999999
54,55,15569590,Yoo,601,1,1,42,1,98495.72,1,1,0,40014.76,1,2.461484712
55,56,15760861,Phillipps,619,0,1,43,1,125211.92,1,1,1,113410.49,0,1.104059422
56,57,15630053,Tsao,656,0,1,45,5,127864.4,1,1,0,87107.57,0,1.467890793
57,58,15647091,Endrizzi,725,1,1,19,0,75888.2,1,0,0,45613.75,0,1.663713244
58,59,15623944,T'ien,511,0.5,0,66,4,0.0,1,1,0,1643.11,1,0.0
59,60,15804771,Velazquez,614,0,1,51,4,40685.92,1,1,1,46775.28,0,0.869816707
60,61,15651280,Hunter,742,1,1,35,5,136857.0,1,0,0,84509.57,0,1.61942606
61,62,15773469,Clark,687,1,0,27,9,152328.88,2,0,0,126494.82,0,1.204230181
62,63,15702014,Jeffrey,555,0.5,1,33,1,56084.69,2,0,0,178798.13,0,0.313676043
63,64,15751208,Pirozzi,684,0.5,1,56,8,78707.16,1,1,1,99398.36,0,0.7918356
64,65,15592461,Jackson,603,1,1,26,4,109166.37,1,1,1,92840.67,0,1.175846426
65,66,15789484,Hammond,751,1,0,36,6,169831.46,2,1,1,27758.36,0,6.118209433
66,67,15696061,Brownless,581,1,0,34,1,101633.04,1,1,0,110431.51,0,0.920326454
67,68,15641582,Chibugo,735,1,1,43,10,123180.01,2,1,1,196673.28,0,0.6263179729999999
68,69,15638424,Glauert,661,1,0,35,5,150725.53,2,0,1,113656.85,0,1.326145586
69,70,15755648,Pisano,675,0,0,21,8,98373.26,1,1,0,18203.0,0,5.404233368
70,71,15703793,Konovalova,738,1,1,58,2,133745.44,4,1,0,28373.86,1,4.7136850610000005
71,72,15620344,McKee,813,0,1,29,6,0.0,1,1,0,33953.87,0,0.0
72,73,15812518,Palermo,657,0.5,0,37,0,163607.18,1,0,1,44203.55,0,3.7012226389999996
73,74,15779052,Ballard,604,1,0,25,5,157780.84,2,1,1,58426.81,0,2.700486985
74,75,15770811,Wallace,519,0,1,36,9,0.0,2,0,1,145562.4,0,0.0
75,76,15780961,Cavenagh,735,0,0,21,1,178718.19,2,1,0,22388.0,0,7.982767107000001
76,77,15614049,Hu,664,0,1,55,8,0.0,2,1,1,139161.64,0,0.0
77,78,15662085,Read,678,0,0,32,9,0.0,1,1,1,148210.64,0,0.0
78,79,15575185,Bushell,757,0.5,1,33,5,77253.22,1,0,1,194239.63,0,0.397721207
79,80,15803136,Postle,416,1,0,41,10,122189.66,2,1,0,98301.61,0,1.243007719
80,81,15706021,Buley,665,0,0,34,1,96645.54,2,0,0,171413.66,0,0.563814692
81,82,15663706,Leonard,777,0,0,32,2,0.0,1,1,0,136458.19,1,0.0
82,83,15641732,Mills,543,0,0,36,3,0.0,2,0,0,26019.59,0,0.0
83,84,15701164,Onyeorulu,506,0,0,34,4,90307.62,1,1,1,159235.29,0,0.5671332029999999
84,85,15738751,Beit,493,0,0,46,4,0.0,2,1,0,1907.66,0,0.0
85,86,15805254,Ndukaku,652,0.5,0,75,10,0.0,2,1,1,114675.75,0,0.0
86,87,15762418,Gant,750,0.5,1,22,3,121681.82,1,1,0,128643.35,1,0.945885038
87,88,15625759,Rowley,729,0,1,30,9,0.0,2,1,0,151869.35,0,0.0
88,89,15622897,Sharpe,646,0,0,46,4,0.0,3,1,0,93251.42,1,0.0
89,90,15767954,Osborne,635,1,0,28,3,81623.67,2,1,1,156791.36,0,0.520587805
90,91,15757535,Heap,647,0.5,0,44,5,0.0,3,1,1,174205.22,1,0.0
91,92,15731511,Ritchie,808,0,1,45,7,118626.55,2,1,0,147132.46,0,0.806256825
92,93,15809248,Cole,524,0,0,36,10,0.0,2,1,0,109614.57,0,0.0
93,94,15640635,Capon,769,0,1,29,8,0.0,2,1,1,172290.61,0,0.0
94,95,15676966,Capon,730,0.5,1,42,4,0.0,2,0,1,85982.47,0,0.0
95,96,15699461,Fiorentini,515,0.5,1,35,10,176273.95,1,0,1,121277.78,0,1.4534727630000002
96,97,15738721,Graham,773,0.5,1,41,9,102827.44,1,0,1,64595.25,0,1.591873087
97,98,15693683,Yuille,814,1,1,29,8,97086.4,2,1,1,197276.13,0,0.492134553
98,99,15604348,Allard,710,0.5,1,22,8,0.0,2,0,0,99645.04,0,0.0
99,100,15633059,Fanucci,413,0,1,34,9,0.0,2,0,0,6534.18,0,0.0
100,101,15808582,Fu,665,0,0,40,6,0.0,1,1,1,161848.03,0,0.0
101,102,15743192,Hung,623,0,0,44,6,0.0,2,0,0,167162.43,0,0.0
102,103,15580146,Hung,738,0,1,31,9,82674.15,1,1,0,41970.72,0,1.969805379
103,104,15776605,Bradley,528,0.5,1,36,7,0.0,2,1,0,60536.56,0,0.0
104,105,15804919,Dunbabin,670,0.5,0,65,1,0.0,1,1,1,177655.68,1,0.0
105,106,15613854,Mauldon,622,0.5,0,46,4,107073.27,2,1,1,30984.59,1,3.455694266
106,107,15599195,Stiger,582,1,1,32,1,88938.62,1,1,1,10054.53,0,8.845626797000001
107,108,15812878,Parsons,785,1,0,36,2,99806.85,1,0,1,36976.52,0,2.699195327
108,109,15602312,Walkom,605,0.5,1,33,5,150092.8,1,0,0,71862.79,0,2.08860246
109,110,15744689,T'ang,479,1,1,35,9,92833.89,1,1,0,99449.86,1,0.933474316
110,111,15803526,Eremenko,685,1,1,30,3,90536.81,1,0,1,63082.88,0,1.4352041309999999
111,112,15665790,Rowntree,538,1,1,39,7,108055.1,2,1,0,27231.26,0,3.9680536269999998
112,113,15715951,Thorpe,562,0,1,42,2,100238.35,1,0,0,86797.41,0,1.15485416
113,114,15591100,Chiemela,675,0.5,1,36,9,106190.55,1,0,1,22994.32,0,4.61812091
114,115,15609618,Fanucci,721,1,1,28,9,154475.54,2,0,1,101300.94,1,1.5249171430000001
115,116,15675522,Ko,628,1,0,30,9,132351.29,2,1,1,74169.13,0,1.784452507
116,117,15705512,Welch,668,1,0,37,6,167864.4,1,1,0,115638.29,0,1.451633365
117,118,15698028,Duncan,506,0,0,41,1,0.0,2,1,0,31766.3,0,0.0
118,119,15661670,Chidozie,524,1,0,31,8,107818.63,1,1,0,199725.39,1,0.53983437
119,120,15600781,Wu,699,1,1,34,4,185173.81,2,1,0,120834.48,0,1.5324583680000001
120,121,15682472,Culbreth,828,0,1,34,8,129433.34,2,0,0,38131.77,0,3.3943701010000003
121,122,15580203,Kennedy,674,0.5,1,39,6,120193.42,1,0,0,100130.95,0,1.200362326
122,123,15690673,Cameron,656,0,0,39,6,0.0,2,1,0,141069.88,0,0.0
123,124,15760085,Calabresi,684,1,0,48,10,126384.42,1,1,1,198129.36,0,0.637888398
124,125,15779659,Zetticci,625,0,0,28,3,0.0,1,0,0,183646.41,0,0.0
125,126,15627360,Fuller,432,0,1,42,9,152603.45,1,1,0,110265.24,1,1.383966969
126,127,15671137,MacDonald,549,0,0,52,1,0.0,1,0,1,8636.05,1,0.0
127,128,15782688,Piccio,625,1,1,56,0,148507.24,1,1,0,46824.08,1,3.171599741
128,129,15575492,Kennedy,828,0,0,41,7,0.0,2,1,0,171378.77,0,0.0
129,130,15591607,Fernie,770,0,1,24,9,101827.07,1,1,0,167256.35,0,0.608808395
130,131,15740404,He,758,0,0,34,3,0.0,2,1,1,124226.16,0,0.0
131,132,15718369,Kaodilinakachukwu,795,1,0,33,9,130862.43,1,1,1,114935.21,0,1.138575638
132,133,15677871,Cocci,687,0,1,38,9,122570.87,1,1,1,35608.88,0,3.4421433639999997
133,134,15642004,Alekseeva,686,0,1,25,1,0.0,2,0,1,16459.37,0,0.0
134,135,15712543,Chinweike,789,1,1,39,7,124828.46,2,1,1,124411.08,0,1.003354846
135,136,15584518,Arthur,589,1,0,50,5,144895.05,2,1,1,34941.23,0,4.146821677
136,137,15802381,Li,461,1,0,34,5,63663.93,1,0,1,167784.28,0,0.37943918200000004
137,138,15610156,Ma,637,0,1,40,2,133463.1,1,0,1,93165.34,0,1.432540256
138,139,15594408,Chia,584,0.5,0,48,2,213146.2,1,1,0,75161.25,1,2.8358522510000004
139,140,15640905,Vasin,579,0.5,0,35,1,129490.36,2,0,1,8590.83,1,15.07309073
140,141,15698932,Groves,756,1,1,44,10,137452.09,1,1,0,189543.9,0,0.725172849
141,142,15724944,Tien,663,0,1,34,7,0.0,2,1,1,180427.24,0,0.0
142,143,15628145,Forwood,682,0,0,43,5,125851.93,1,1,1,193318.33,0,0.651008779
143,144,15713483,Greeves,793,0.5,1,52,2,0.0,1,1,0,159123.82,1,0.0
144,145,15612350,Taylor,691,0,0,31,5,40915.55,1,1,0,126213.84,1,0.32417641399999997
145,146,15800703,Madukwe,485,0.5,0,21,5,113157.22,1,1,1,54141.5,0,2.090027428
146,147,15705707,Bennelong,635,0.5,0,29,8,138296.94,2,1,0,141075.51,0,0.9803043770000001
147,148,15754105,Olisanugo,650,0,1,37,5,106967.18,1,0,0,24495.03,0,4.366893202
148,149,15703264,Chukwufumnanya,735,0,1,44,9,120681.63,1,1,0,74836.34,0,1.612607324
149,150,15794413,Harris,416,0,1,32,0,0.0,2,0,1,878.87,0,0.0
150,151,15650237,Morgan,754,0.5,0,32,7,0.0,2,1,0,89520.75,0,0.0
151,152,15759618,Alexeeva,535,0,0,48,9,0.0,1,1,0,149892.79,1,0.0
152,153,15811589,Metcalfe,716,0.5,1,42,8,0.0,2,1,0,180800.42,0,0.0
153,154,15689044,Humphries,539,0,1,37,2,127609.59,1,1,0,98646.22,0,1.293608513
154,155,15709368,Milne,614,0,0,43,6,0.0,2,1,1,109041.53,0,0.0
155,156,15679145,Chou,706,0.5,1,57,7,0.0,1,1,0,17941.16,1,0.0
156,157,15655007,Li,758,0,0,33,7,0.0,2,0,0,82996.47,0,0.0
157,158,15623595,Clayton,586,0.5,0,28,2,0.0,2,1,1,92067.35,0,0.0
158,159,15589975,Maclean,646,0,0,73,6,97259.25,1,0,1,104719.66,0,0.9287582679999999
159,160,15804017,Chigolum,631,1,0,33,4,123246.7,1,0,0,112687.57,0,1.093702704
160,161,15692132,Wilkinson,717,0.5,0,22,6,101060.25,1,0,1,84699.56,0,1.193161452
161,162,15641122,Wei,684,0,1,30,2,0.0,2,1,0,83473.82,0,0.0
162,163,15630910,Treacy,800,0,0,49,7,108007.36,1,0,0,47125.11,0,2.291928019
163,164,15680772,Hu,721,0.5,0,36,2,0.0,2,1,1,106977.8,0,0.0
164,165,15658929,Taverner,683,0.5,1,29,0,133702.89,1,1,0,55582.54,1,2.4054836280000003
165,166,15585388,Sherman,660,1,1,31,9,125189.75,2,1,1,139874.43,0,0.895015265
166,167,15724623,Taubman,704,1,0,24,7,113034.22,1,1,0,162503.48,1,0.695580304
167,168,15588537,Robinson,615,0.5,0,41,9,109013.23,1,1,0,196499.96,0,0.55477482
168,169,15574692,Pinto,667,0.5,0,39,2,0.0,2,1,0,40721.24,1,0.0
169,170,15611325,Wood,682,1,1,24,9,57929.81,2,0,0,53134.3,0,1.0902526240000001
170,171,15587562,Hawkins,484,0,0,29,4,130114.39,1,1,0,164017.89,0,0.79329389
171,172,15613172,Sun,628,1,1,27,5,95826.49,2,1,0,155996.96,0,0.614284342
172,173,15651022,Yost,480,1,1,44,10,129608.57,1,1,0,5472.7,1,23.68274709
173,174,15586310,Ting,578,0,1,30,4,169462.09,1,1,0,112187.11,0,1.510530844
174,175,15625524,Rowe,512,0,1,40,5,0.0,2,1,1,146457.83,0,0.0
175,176,15755209,Fu,484,0.5,0,35,7,133868.21,1,1,1,27286.1,0,4.906095411
176,177,15645248,Ho,510,0,0,30,0,0.0,2,1,1,130553.47,0,0.0
177,178,15790355,Okechukwu,606,1,1,36,5,190479.48,2,0,0,179351.89,0,1.062043338
178,179,15762615,Campbell,597,0.5,0,40,8,101993.12,1,0,1,94774.12,0,1.076170583
179,180,15625426,Ashbolt,754,1,0,55,3,161608.81,1,1,0,8080.85,1,19.99898649
180,181,15716334,Rozier,850,0.5,0,45,2,122311.21,1,1,1,19482.5,0,6.27800385
181,182,15789669,Hsia,510,0,1,65,2,0.0,2,1,1,48071.61,0,0.0
182,183,15621075,Ogbonnaya,778,1,0,45,1,162150.42,2,1,0,174531.27,0,0.9290622820000001
183,184,15810845,T'ang,636,0,1,42,2,0.0,2,1,1,55470.78,0,0.0
184,185,15719377,Cocci,804,0,0,50,4,0.0,1,1,1,8546.87,1,0.0
185,186,15654506,Chang,514,0,1,32,8,0.0,2,1,0,95857.18,0,0.0
186,187,15771977,T'ao,730,0,0,39,1,99010.67,1,1,0,194945.8,0,0.507888193
187,188,15708710,Ford,525,0.5,0,37,0,0.0,1,0,1,131521.72,0,0.0
188,189,15726676,Marshall,616,0.5,1,30,5,0.0,2,0,1,196108.51,0,0.0
189,190,15587421,Tsai,687,1,0,34,7,111388.18,2,1,0,148564.76,0,0.7497617870000001
190,191,15726931,Onwumelu,715,0,0,41,8,56214.85,2,0,0,92982.61,1,0.604573801
191,192,15771086,Graham,512,0,0,36,3,84327.77,2,1,0,17675.36,0,4.770922346
192,193,15756850,Golovanov,479,0,1,40,1,0.0,2,0,0,114996.43,0,0.0
193,194,15702741,Potts,601,0,1,32,8,93012.89,1,1,0,86957.42,0,1.069637186
194,195,15679200,Crawford,580,0.5,1,29,9,61710.44,2,1,0,128077.8,0,0.481819956
195,196,15594815,Aleshire,807,0,1,35,3,174790.15,1,1,1,600.36,0,291.1422313
196,197,15635905,Moran,616,0.5,0,32,6,0.0,2,1,1,43001.46,0,0.0
197,198,15777892,Samsonova,721,1,1,37,3,107720.64,1,1,1,158591.12,0,0.679235004
198,199,15656176,Jenkins,501,0,1,57,10,0.0,2,1,1,47847.19,0,0.0
199,200,15811127,Volkov,521,0,1,35,6,96423.84,1,1,0,10488.44,0,9.193344291
200,201,15604482,Chiemezie,850,0.5,1,30,2,141040.01,1,1,1,5978.2,0,23.59238734
201,202,15622911,Jude,759,0,1,42,4,105420.18,1,0,1,121409.06,0,0.86830571
202,203,15600974,He,516,0.5,1,50,5,0.0,1,0,1,146145.93,1,0.0
203,204,15727868,Onuora,711,0,0,38,2,129022.06,2,1,1,14374.86,1,8.975535066
204,205,15627801,Ginikanwa,512,0.5,1,33,3,176666.62,1,1,0,94670.77,0,1.866115803
205,206,15773039,Ku,550,0,1,37,3,0.0,1,1,1,179670.31,0,0.0
206,207,15755262,McDonald,608,0.5,0,41,3,89763.84,1,0,0,199304.74,1,0.45038487299999996
207,208,15679531,Collins,618,0,1,34,5,134954.53,1,1,1,151954.39,0,0.888125246
208,209,15684181,Hackett,643,0,1,45,5,0.0,1,1,0,142513.5,1,0.0
209,210,15612087,Dike,671,0,1,45,2,106376.85,1,0,1,158264.62,0,0.6721454859999999
210,211,15752047,Trevisano,689,1,1,33,2,161814.64,2,1,0,169381.9,0,0.95532427
211,212,15624592,Tan,603,0,1,31,8,0.0,2,1,1,169915.02,0,0.0
212,213,15573152,Glassman,620,0,0,41,9,0.0,2,0,0,88852.47,0,0.0
213,214,15594917,Miller,676,0,0,34,1,63095.01,1,1,1,40645.81,0,1.5523127719999998
214,215,15785542,Kornilova,572,1,1,26,4,118287.01,2,0,0,60427.3,0,1.957509437
215,216,15723488,Watson,668,1,1,47,7,106854.21,1,0,1,157959.02,1,0.676467922
216,217,15680920,Marchesi,695,0,1,46,7,49512.55,1,1,0,133007.34,0,0.37225426799999994
217,218,15786308,Millar,730,0.5,0,33,9,0.0,2,0,0,176576.62,0,0.0
218,219,15659366,Shih,807,0,1,43,1,105799.32,2,1,0,34888.04,1,3.0325383710000002
219,220,15774854,Fuller,592,0,1,54,8,0.0,1,1,1,28737.71,1,0.0
220,221,15725311,Hay,726,0,0,31,9,114722.05,2,1,1,98178.57,0,1.168503982
221,222,15787155,Yang,514,0.5,1,30,7,0.0,1,0,1,125010.24,0,0.0
222,223,15727829,McIntyre,567,0,1,42,2,0.0,2,1,1,167984.61,0,0.0
223,224,15733247,Stevenson,850,0,1,33,10,0.0,1,1,0,4861.72,1,0.0
224,225,15568748,Poole,671,1,1,45,6,99564.22,1,1,1,108872.45,1,0.914503348
225,226,15699029,Bagley,670,0,1,37,4,170557.91,2,1,0,198252.88,0,0.860304829
226,227,15774393,Ch'ien,694,0,0,30,9,0.0,2,1,1,26960.31,0,0.0
227,228,15676895,Cattaneo,547,1,0,39,6,74596.15,3,1,1,85746.52,1,0.8699612529999999
228,229,15637753,O'Sullivan,751,1,1,50,2,96888.39,1,1,0,77206.25,1,1.2549293609999999
229,230,15605461,Lucas,594,1,0,29,3,130830.22,1,1,0,61048.53,0,2.143052748
230,231,15808473,Ringrose,673,0,1,72,1,0.0,2,0,1,111981.19,0,0.0
231,232,15627000,Freeman,610,0,1,40,0,0.0,2,1,0,62232.6,0,0.0
232,233,15787174,Sergeyev,512,0,0,37,1,0.0,2,0,1,156105.03,0,0.0
233,234,15723886,Fiore,767,1,1,20,3,119714.25,2,0,1,150135.38,0,0.797375342
234,235,15704769,Smith,585,0,0,67,5,113978.97,2,0,1,93146.11,0,1.223657864
235,236,15772896,Dumetochukwu,763,1,1,42,6,100160.75,1,1,0,33462.94,1,2.9931843999999996
236,237,15711540,Pacheco,712,0,0,29,2,0.0,1,1,1,144375.0,0,0.0
237,238,15764866,Synnot,539,1,0,43,3,116220.5,3,1,0,55803.96,1,2.082656858
238,239,15794056,Johnston,668,0,0,46,2,0.0,3,1,0,89048.46,1,0.0
239,240,15795149,Stevens,703,0,1,28,2,81173.83,2,0,1,162812.16,0,0.49857350899999997
240,241,15812009,Grant,662,0.5,1,38,4,0.0,2,1,0,136259.65,0,0.0
241,242,15651001,Tsao,725,1,0,39,5,116803.8,1,1,0,124052.97,0,0.9415639140000001
242,243,15813844,Barnes,703,0,1,37,8,105961.68,2,0,1,74158.8,0,1.4288483630000002
243,244,15596175,McIntosh,659,1,1,67,6,117411.6,1,1,1,45071.09,1,2.605031296
244,245,15576269,Madison,523,0.5,1,34,7,0.0,2,1,0,62030.06,0,0.0
245,246,15797219,Ifesinachi,635,0,0,40,10,123497.58,1,1,0,131953.23,1,0.935919341
246,247,15685500,Glazkov,772,1,1,26,7,152400.51,2,1,0,79414.0,0,1.919063515
247,248,15599792,Dimauro,545,0,0,26,1,0.0,2,1,1,199638.56,0,0.0
248,249,15657566,Wieck,634,1,1,24,8,103097.85,1,1,1,157577.29,0,0.654268455
249,250,15772423,Liao,739,1,1,54,8,126418.14,1,1,0,134420.75,1,0.940465962
250,251,15628112,Hughes,771,1,0,36,5,77846.9,1,0,0,99805.99,0,0.779982244
251,252,15753754,Morrison,587,0.5,0,34,1,0.0,2,1,1,97932.68,0,0.0
252,253,15793726,Matveyeva,681,0,0,79,0,0.0,2,0,1,170968.99,0,0.0
253,254,15694717,Ku,544,1,1,37,2,79731.91,1,1,1,57558.95,0,1.38522176
254,255,15665834,Cheatham,696,0.5,1,28,8,0.0,1,0,0,176713.47,0,0.0
255,256,15765297,Yao,766,0.5,1,41,0,0.0,2,0,1,34283.23,0,0.0
256,257,15636684,Kirkland,727,0,1,34,10,0.0,2,1,1,198637.34,0,0.0
257,258,15592979,Rose,671,1,0,34,6,37266.67,2,0,0,156917.12,0,0.237492697
258,259,15750803,Jess,693,0,0,30,6,127992.25,1,1,1,50457.2,0,2.536649874
259,260,15607178,Welch,850,1,1,38,3,54901.01,1,1,1,140075.55,0,0.391938565
260,261,15713853,Ifeajuna,732,1,1,42,9,108748.08,2,1,1,65323.11,0,1.664771931
261,262,15673481,Morton,726,0.5,0,48,6,99906.19,1,1,0,64323.24,0,1.55318964
262,263,15686776,Rossi,557,0,0,32,6,184686.41,2,1,0,14956.44,0,12.34828676
263,264,15673693,Reppert,682,0,0,26,0,110654.02,1,0,1,111879.21,0,0.9890489929999999
264,265,15700696,Kang,738,0.5,1,31,9,79019.8,1,1,1,18606.23,0,4.246953843
265,266,15813163,Ch'iu,531,0.5,0,36,9,99240.51,1,1,0,123137.01,0,0.8059356809999999
266,267,15653857,Wallis,498,0,1,34,2,0.0,2,1,1,148528.24,0,0.0
267,268,15777076,Clark,651,0,1,36,7,0.0,2,1,0,13898.31,0,0.0
268,269,15717398,Fielding,549,0.5,0,39,7,0.0,1,0,0,81259.25,1,0.0
269,270,15799217,Zetticci,791,1,0,35,7,52436.2,1,1,0,161051.75,0,0.325586031
270,271,15787071,Dulhunty,650,0.5,1,41,9,0.0,2,0,1,191599.67,0,0.0
271,272,15619955,Bevington,733,1,1,34,3,100337.96,3,1,0,48559.19,1,2.066302177
272,273,15796505,Boyle,811,1,0,34,1,149297.19,2,1,1,186339.74,0,0.801209608
273,274,15725166,Newton,707,0,1,30,8,0.0,2,1,0,33159.37,0,0.0
274,275,15800116,Bowman,712,1,1,28,4,145605.44,1,0,1,93883.53,0,1.550915693
275,276,15758685,Dubinina,706,0.5,0,37,7,0.0,2,1,1,110899.3,0,0.0
276,277,15694456,Toscani,756,0,1,62,3,0.0,1,1,1,11199.04,1,0.0
277,278,15767339,Chiazagomekpere,777,0,0,53,10,0.0,2,1,0,189992.97,0,0.0
278,279,15683562,Allen,646,0,1,35,6,84026.86,1,0,1,164255.69,0,0.511561335
279,280,15782210,K'ung,714,0,1,46,1,0.0,1,1,0,152167.79,1,0.0
280,281,15668893,Wilsmore,782,0,1,39,8,0.0,2,1,1,33949.67,0,0.0
281,282,15669169,Hargreaves,775,0.5,1,29,10,0.0,2,1,1,68143.93,0,0.0
282,283,15643024,Huang,479,1,1,35,4,138718.92,1,1,1,47251.79,1,2.935738942
283,284,15699389,Ch'ien,807,0,1,42,7,118274.71,1,1,1,25885.72,0,4.569110305
284,285,15708608,Wallwork,799,0,0,22,8,174185.98,2,0,1,192633.85,0,0.904233498
285,286,15626144,Chu,675,0,1,40,7,113208.86,2,1,0,34577.36,0,3.274074712
286,287,15573112,Kang,602,0.5,1,29,5,103907.28,1,1,0,161229.84,0,0.6444668060000001
287,288,15790678,Davidson,475,0,0,32,8,119023.28,1,1,0,100816.29,0,1.180595715
288,289,15727556,O'Donnell,744,0.5,0,26,5,166297.89,1,1,1,181694.44,0,0.915261304
289,290,15697307,Nnachetam,588,0.5,1,34,10,0.0,2,1,0,79078.91,0,0.0
290,291,15652266,Chidiebele,703,1,1,42,9,63227.0,1,0,1,137316.32,0,0.460447819
291,292,15607098,Ahmed,747,0.5,0,41,5,94521.17,2,1,0,194926.86,0,0.48490582600000004
292,293,15655774,Booth,583,0,1,27,7,0.0,2,1,0,51285.49,0,0.0
